,Title:,Congress-Session:,Date:,Citation:,Bill:,Bill Profile:,Bill Status:,Bill Sponsor:,Permalink:,Chamber:,Cosponsors:,Subtitle:,Version Date:,Summary,PDF,TEXT,TEXT_Content
0,104 H. J. Res. 167 (Introduced in the House),104- 2,"March 21, 1996",104 H. J. Res. 167,HJRes 167,Retrieve Bill Profile Report,Introduced in the House,Representative James M. Talent (R - MO),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.104_hjres_167_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to limit the judicial power of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-104hjres167ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-104hjres167ih.txt,"IA

104TH CONGRESS
2D SESSION

H. J. RES. 167

Proposing an amendment to the Constitution of the United States to limit
the judicial power of the United States.

IN THE HOUSE OF REPRESENTATIVES
Mr. TALENT

MARCH 21, 1996
introduced the following joint resolution; which was referred to
the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to limit the judicial power of the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the follow4 ing article is proposed as an amendment to the Constitu5 tion of the United States, which shall be valid to all intents
6 and purposes as part of the Constitution when ratified by
7 the legislatures of three-fourths of the several States with8 in seven years after the date of its submission for ratifica9 tion:

2
1
2

‘‘ARTICLE —
‘‘The judicial power of the United States shall not

3 include the power to require any of the several States, the
4 District of Columbia, or any commonwealth, territory, or
5 possession of the United States to levy or increase any
6 tax.’’.

Æ

•HJ 167 IH

"
1,115 H. J. Res. 12 (Introduced in the House),115- 1,"January 03, 2017",115 H. J. Res. 12,HJRes 12,Retrieve Bill Profile Report,Introduced in the House,Representative Tom McClintock (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.115_hjres_12_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States prohibiting the United States Government from increasing its debt except for a specific purpose by law adopted by three-fourths of the membership of each House of Congress.,C:\Users\sal853\Documents\congressional_record\data\bills-115hjres12ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-115hjres12ih.txt,"IA

115TH CONGRESS
1ST SESSION

H. J. RES. 12

Proposing an amendment to the Constitution of the United States prohibiting
the United States Government from increasing its debt except for a
specific purpose by law adopted by three-fourths of the membership
of each House of Congress.

IN THE HOUSE OF REPRESENTATIVES
JANUARY 3, 2017
Mr. MCCLINTOCK (for himself, Mr. WILSON of South Carolina, and Mr. DUNCAN of South Carolina) submitted the following joint resolution; which
was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States prohibiting the United States Government from
increasing its debt except for a specific purpose by law
adopted by three-fourths of the membership of each
House of Congress.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the folasabaliauskas on DSK3SPTVN1PROD with BILLS

4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
VerDate Sep 11 2014

22:04 Jan 05, 2017

Jkt 069200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ12.IH

HJ12

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. The United States government may not

5 increase its debt except for a specific purpose by law
6 adopted by three-fourths of the membership of each House
7 of Congress.
8

‘‘SECTION 2. This article shall take effect beginning

9 ten years after its ratification.’’.

asabaliauskas on DSK3SPTVN1PROD with BILLS

Æ

•HJ 12 IH
VerDate Sep 11 2014

22:04 Jan 05, 2017

Jkt 069200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ12.IH

HJ12

"
2,113 H. J. Res. 7 (Introduced in the House),113- 1,"January 03, 2013",113 H. J. Res. 7,HJRes 7,Retrieve Bill Profile Report,Introduced in the House,Delegate Donna M. Christensen (D - VI),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.113_hjres_7_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States regarding presidential election voting rights for residents of all United States territories and commonwealths.,C:\Users\sal853\Documents\congressional_record\data\bills-113hjres7ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-113hjres7ih.txt,"IA

113TH CONGRESS
1ST SESSION

H. J. RES. 7

Proposing an amendment to the Constitution of the United States regarding
presidential election voting rights for residents of all United States territories and commonwealths.

IN THE HOUSE OF REPRESENTATIVES
JANUARY 3, 2013
Mrs. CHRISTENSEN (for herself and Ms. BORDALLO) introduced the following
joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States regarding presidential election voting rights for
residents of all United States territories and commonwealths.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
pwalker on DSK7TPTVN1PROD with

7 ratified by the legislatures of three-fourths of the several

VerDate Mar 15 2010

05:18 Jan 04, 2013

Jkt 029200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ7.IH

HJ7

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. The right of citizens of the United

5 States to vote in the election for President and Vice Presi6 dent shall not be denied or abridged by the United States
7 or by any State on account of residency in a territory or
8 commonwealth of the United States.
9

‘‘SECTION 2. The Congress shall have power to en-

10 force this article by appropriate legislation.’’.

pwalker on DSK7TPTVN1PROD with

Æ

•HJ 7 IH
VerDate Mar 15 2010

05:18 Jan 04, 2013

Jkt 029200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ7.IH

HJ7

"
3,91 S.J. Res. 233 (Referred to Committee Senate),91- 2,"September 09, 1970",91 S.J. Res. 233,SJRes 233,Retrieve Bill Profile Report,Referred to Committee Senate,Senator Ted F. Stevens (R - AK),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.91_sjres_233_rts_19700909?accountid=11311,U.S. Senate,None,None,None,Proposing an amendment to the Constitution of the United States with respect to the flag of the United States.,C:\Users\sal853\Documents\congressional_record\data\91-sjres233-00rts-19700909.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\91-sjres233-00rts-19700909.txt,"91ST CONGRESS
2D SESSION

IN THE SENATE OF THE UNITED STATES
AUGUST

Mr.

STEVENS

28,1970

introduced the following joint resolution; which was read twice
and referred to the Committee on the Judiciary

Proposing an amendment to the Constitution of the United States
with respect to the flag of the United States.
1

Resolved by the Senate and House of Representatives of

2 the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the following
4 article is hereby proposed as an amendment to the Constitu5 tion of the United States, which shall be valid to all intents
(> and purposes as part of the Constitution when ratified by the
7 legislatures of three-fourths of the several States:
8
9

""ARTICLE
""SECTION

—

1. Nothing contained in this Constitution

10 shall abridge the right of persons lawfully assembled, in any
.11 public building, school, or educational institution which is
II

1

supported in whole or in part through the expenditure of

-

puhlie fund-;, to participate voluntarily in the pledge of alle-

;>

giauce to the flag of the United States.

»

-f

""Si:<*. 2. Notwithstanding any other provision of this

•>

Constitution, the Congress shall have power h\- appropriate

<>

legislation to regulate the display and handling of the flag

'

of the Inifed States and to protect it from desecration.

$

""SKC.

.'5. This article shall he inoperative unless it shall

9

have heen ratified as an amendment to the Constitution hy

10

t]1(, legislatures of three-fourths of the several States within

11

>oven years from the date of its submission to the States hy

12

the Congress.""

CD

a

*-*

o o

3 5 k,

D

is

a.

>
a

»3
s
PL

o
a

03
H

er

It

O
o

B

8

P o

s
8>

S a

13 fS
ro
o ^
e+

o

O
*-t-

gr*-

» S
as
& 2
Jq

<-»■

«-9-

aw
•r.

"
4,48 H. Res. 299 (Referred to Committee House),48- 2,"December 11, 1884",48 H. Res. 299,HRes 299,Retrieve Bill Profile Report,Referred to Committee House,Representative Stephen Columbus Millard (R - NY),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.48_hres_299_rth_18841211?accountid=11311,U.S. House of Representatives,None,None,None,Proposing an amendment to the Constitution of the United States changing the terms of office of President of the United States.,C:\Users\sal853\Documents\congressional_record\data\48-hres299-00rth-18841211.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\48-hres299-00rth-18841211.txt,"48TH CONGRESS,
2D SESSION.

II. RES. £99.

m THE HOUSE OF REPRESENTATIVES.
DECEMBER

12,1884.

Eead twice, referred to the Committee on the Judiciary, and ordered to be printed.

Mr. MILLAED introduced the following joint resolution:

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
changing the terms of office of President of the United States.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein). That the

4

following article be proposed to the legislatures of the several

5

States as an amendment to section one, article two, of the

6

Constitution of the United States, which, when ratified by

7

three-fourths of said legislatures, shall be valid as part of the

8

Constitution, as a substitute for the first paragraph of said sec-

9

tion, namely:

10
11

ARTICLE
SECTION

II.

1. The executive power shall be vested in a

12

President of the United States of America.

The President

13

and Vice-President hereafter elected shall hold their offices for

14

the term of six years]; but the President shall not be re-eligible

2
15

to the office of President, and after the expiration of his said

16

term of office (unless deposed by impeachment) shall, for and

17

during the residue of his life, receive the sum of ten thousand

18

dollars per annum, said sum to he paid out of the Treasury of

19

the United States.

20

be elected as follows.

The President and Vice-President

a
o
® w
o fei

P w

e+ I-1

a ^ CD

DO

H

o

*?1
-So O

sal H
p* » g
ffi P* P H
Ope
i-ts et- O

=

® & B
PL, ^

o o
H a>
Pi""

sT p &

5-""«3. ^

® 3«
P'IS ^

GO

O

p, »

32 £t 5f

ft

° s

g.
® o
a> ffi o

/

W
H St
—
■^ (""5

B

?° ® S

B So P
2. ©
o o
O

i-tj

o

"
5,115 H. J. Res. 106 (Introduced in the House),115- 1,"June 22, 2017",115 H. J. Res. 106,HJRes 106,Retrieve Bill Profile Report,Introduced in the House,Representative Warren Davidson (R - OH),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.115_hjres_106_ih?accountid=11311,None,None,None,None,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.",C:\Users\sal853\Documents\congressional_record\data\bills-115hjres106ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-115hjres106ih.txt,"IA

115TH CONGRESS
1ST SESSION

H. J. RES. 106

Proposing an amendment to the Constitution of the United States to provide
that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons
in each State who are citizens of the United States.

IN THE HOUSE OF REPRESENTATIVES
JUNE 22, 2017
Mr. DAVIDSON (for himself, Mr. LAMBORN, and Mr. BROOKS of Alabama)
submitted the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in
each State who are citizens of the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol-

SSpencer on DSKBBV9HB2PROD with BILLS

4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
VerDate Sep 11 2014

05:30 Jun 23, 2017

Jkt 069200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ106.IH

HJ106

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘Representatives shall be apportioned among the sev-

5 eral States according to their respective numbers, which
6 shall be determined by counting the number of persons
7 in each State who are citizens of the United States.’’.

SSpencer on DSKBBV9HB2PROD with BILLS

Æ

•HJ 106 IH
VerDate Sep 11 2014

05:30 Jun 23, 2017

Jkt 069200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ106.IH

HJ106

"
6,105 H. J. Res. 115 (Introduced in the House),105- 2,"March 18, 1998",105 H. J. Res. 115,HJRes 115,Retrieve Bill Profile Report,Introduced in the House,Representative Collin Clark Peterson (D - MN),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_115_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to permit the Congress to relinquish claims of the United States to the portion of the State of Minnesota that lies north of the 49th parallel.,C:\Users\sal853\Documents\congressional_record\data\bills-105hjres115ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres115ih.txt,"IA

105TH CONGRESS
2D SESSION

H. J. RES. 115

Proposing an amendment to the Constitution of the United States to permit
the Congress to relinquish claims of the United States to the portion
of the State of Minnesota that lies north of the 49th parallel.

IN THE HOUSE OF REPRESENTATIVES
MARCH 18, 1998
Mr. PETERSON of Minnesota introduced the following joint resolution; which
was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to permit the Congress to relinquish claims of
the United States to the portion of the State of Minnesota that lies north of the 49th parallel.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘Nothing in this Constitution limits any act of the

5 Congress to relinquish claims of the United States to the
6 portion of the State of Minnesota that lies north of the
7 49th parallel, if before such relinquishment the registered
8 voters who reside in such portion as of the date of the
9 proposal of this amendment vote, under procedures estab10 lished by the Congress, by at least a two-thirds majority,
11 in favor of the full incorporation of such portion into Can12 ada, and if contemporaneous with such relinquishment
13 such portion is so incorporated and the residents of such
14 portion as of the date of the proposal of this amendment
15 are granted permanent dual citizenship of the United
16 States and Canada.’’.

Æ

•HJ 115 IH

"
7,105 H. J. Res. 51 (Introduced in the House),105- 1,"February 12, 1997",105 H. J. Res. 51,HJRes 51,Retrieve Bill Profile Report,Introduced in the House,Representative David T. Dreier (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_51_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to repeal the twenty-second amendment relating to Presidential term limitations.,C:\Users\sal853\Documents\congressional_record\data\bills-105hjres51ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres51ih.txt,"IA

105TH CONGRESS
1ST SESSION

H. J. RES. 51

Proposing an amendment to the Constitution of the United States to repeal
the twenty-second amendment relating to Presidential term limitations.

IN THE HOUSE OF REPRESENTATIVES
Mr. DREIER

FEBRUARY 12, 1997
introduced the following joint resolution; which was referred to
the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to repeal the twenty-second amendment relating
to Presidential term limitations.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years from the date of its submission
9 by the Congress:

2
1
2

‘‘ARTICLE —
‘‘The twenty-second article of amendment to the Con-

3 stitution of the United States is hereby repealed.’’.

Æ

HJ 51 IH

"
8,104 H. J. Res. 37 (Introduced in the House),104- 1,"January 04, 1995",104 H. J. Res. 37,HJRes 37,Retrieve Bill Profile Report,Introduced in the House,Representative William Orton (D - UT),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.104_hjres_37_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to provide for a balanced budget for the United States Government.,C:\Users\sal853\Documents\congressional_record\data\bills-104hjres37ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-104hjres37ih.txt,"IA

104TH CONGRESS
1ST SESSION

H. J. RES. 37

Proposing an amendment to the Constitution of the United States to provide
for a balanced budget for the United States Government.

IN THE HOUSE OF REPRESENTATIVES
Mr. ORTON

JANUARY 4, 1995
introduced the following joint resolution; which was referred to the
Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide for a balanced budget for the United
States Government.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution if ratified
7 by the legislatures of three-fourths of the several States
8 within seven years after its submission to the States for
9 ratification:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. Total outlays of the United States for

3 any fiscal year shall not exceed total receipts to the United
4 States for that fiscal year.
5

‘‘SECTION 2. Prior to each fiscal year, the President

6 shall transmit to the Congress a proposed budget for the
7 United States Government for that fiscal year in which
8 total outlays do not exceed total receipts.
9

‘‘SECTION 3. For any fiscal year in which actual out-

10 lays exceed actual receipts, the Congress shall provide by
11 law for the repayment in the ensuing fiscal year of such
12 excess outlays. If Congress fails to provide by law for re13 payment, within fifteen days after Congress adjourns to
14 end a session, there shall be a sequestration of all outlays
15 to eliminate a budget deficit.
16

‘‘SECTION 4. The provisions of this article may be

17 waived for any fiscal year only if Congress so provides by
18 law by a majority of the whole number of each House.
19 Such waiver shall be subject to veto by the President.
20

‘‘SECTION 5. Total receipts shall include all receipts

21 of the United States Government except those derived
22 from borrowing. Total outlays shall include all outlays of
23 the United States Government, except for those for repay24 ment of debt principal.

HJ 37 IH

3
1

‘‘SECTION 6. This article shall take effect beginning

2 with fiscal year 2002 or with the second fiscal year begin3 ning after its ratification, whichever is later.’’.

Æ

HJ 37 IH

"
9,101 H. J. Res. 23 (Introduced in the House),101- 1,"January 03, 1989",101 H.J.Res. 23,HJRes 23,Retrieve Bill Profile Report,AS INTRODUCED IN THE HOUSE,Representative Virginia Dodd Smith (R - NE),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.101_hjres_23_ih?accountid=11311,U.S. House of Representatives,None,None,"January 03, 1989 Version: -- 1",H. J. RES. 23 Proposing an amendment to the Constitution of the United States establishing English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\101-hjres23-000ih-19890103.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\101-hjres23-000ih-19890103.txt,"IA

101ST CONGRESS
1ST SESSION

H. J. RES. 23

Proposing an amendment to the Constitution of the United States establishing
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
JANUARY 3, 1989
Mrs. SMITH of Nebraska introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States establishing English as the official, language of the
United States.
1

Resolved by the Senate end House of Representatives

2 of the United States of America in Congress assembled
""

/'

■

'

■

.

3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Constitu5 tion of the United States- which shall be valid as a part of the
6 Constitution if ratified by the legislatures of three-fourths of
7 the several.States:
8
9

'""ARTICLE

""SECTION

.

—

1. The English language shall be the official

10 language of the United States.

1

''SECTION

2. Neither' the United Statesjioi-any State

2 shall require, by law, ordinance, regulation, order, decree,
3 program, or policy, the use in the United States of any lan4 guage other than English.
5

(""SECTION

3. This article shall not prohibit any law,

6 ordinance, regulation, order, decree, program, or policy re7 quiring educational instruction in a language other than Eng8 lish for the purpose of making students who use a language
9 other than English proficient in English.
10

""SECTION

4. The Congress and the Stateslhay enforce

11 this article by appropriate legislation."".
O

HJ 23 IH

"
