,Date,Type,Action,Links,Bill:,Congress-Session:
0,"April 18, 1996",status,Cosponsor(s) added,142 Cong Rec H 3650,HJRes 167,104- 2
1,"March 21, 1996",referral,Referred to the House Judiciary Committee,142 Cong Rec H 2665,HJRes 167,104- 2
2,"January 03, 2017",status,Introduced in the House,163 Cong Rec H45,HJRes 12,115- 1
3,"January 03, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H45,HJRes 12,115- 1
4,"January 03, 2013",status,Introduced in the House,159 Cong Rec H33,HJRes 7,113- 1
5,"January 03, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H33,HJRes 7,113- 1
6,"September 09, 1970",status,Referred to Committee Senate,,SJRes 233,91- 2
7,"August 28, 1970",status,Introduced in the Senate,,SJRes 233,91- 2
8,"December 11, 1884",status,Referred to Committee House,,HRes 299,48- 2
9,"June 22, 2017",status,Introduced in the House,163 Cong Rec H5109,HJRes 106,115- 1
10,"June 22, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H5109,HJRes 106,115- 1
11,"March 18, 1998",referral,Referred to the Senate Judiciary Committee,144 Cong Rec H 1299,HJRes 115,105- 2
12,"February 12, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 521,HJRes 51,105- 1
13,"May 09, 1995",status,Cosponsor(s) removed,141 Cong Rec H 4620,HJRes 37,104- 1
14,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 176,HJRes 37,104- 1
15,"September 06, 1989",status,Cosponsors added,135 Cong Rec H 5388,HJRes 23,101- 1
16,"January 03, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 39,HJRes 23,101- 1
17,"January 12, 2015",status,Introduced in the House,161 Cong Rec H224,HJRes 18,114- 1
18,"January 12, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H224,HJRes 18,114- 1
19,"January 20, 1890",status,Referred to Committee House,,HRes 74,51- 1
20,"January 27, 1887",status,Reported in House,,HRes 239,49- 2
21,"January 17, 1887",status,Referred to Committee House,,HRes 239,49- 2
22,"April 17, 1930",status,Referred to Committee House,,SJRes 3,71- 2
23,Session 1,,,,SJRes 3,71- 2
24,"April 22, 1929",status,Reported in Senate,,SJRes 3,71- 2
25,"April 18, 1929",status,Introduced in the Senate,,SJRes 3,71- 2
26,"July 22, 2004",referral,Referred to House Committee on the Judiciary,150 Cong Rec H 6705,HJRes 101,108- 2
27,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 95,106- 2
28,"September 26, 1990",status,Cosponsors added,136 Cong Rec H 8106,HJRes 48,101- 1
29,Session 1,,,,HJRes 48,101- 1
30,"April 12, 1989",status,Cosponsors added,135 Cong Rec H 1127,HJRes 48,101- 1
31,"January 03, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 58,HJRes 48,101- 1
32,"March 03, 2009",status,Introduced in the House,155 Cong Rec H2925,HJRes 29,111- 1
33,"March 03, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H2925,HJRes 29,111- 1
34,"January 16, 2009",status,Introduced in the Senate,155 Cong Rec S652,SJRes 6,111- 1
35,"January 16, 2009",referral,Referred to the Senate Committee on the Judiciary.,155 Cong Rec S652,SJRes 6,111- 1
36,"January 27, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 131,HJRes 96,101- 1
37,"January 04, 1888",status,Referred to Committee House,,HRes 27,50- 1
38,"April 26, 2021",status,Introduced in the House,167 Cong Rec H2114,HRes 351,117- 1
39,"April 26, 2021",referral,Referred to the House Committee on Rules,167 Cong Rec H2114,HRes 351,117- 1
40,"January 23, 2013",status,Introduced in the Senate,159 Cong Rec S214,SJRes 4,113- 1
41,"January 23, 2013",referral,Referred to the Senate Committee on the Judiciary,159 Cong Rec S214,SJRes 4,113- 1
42,"January 04, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 79,HJRes 2,109- 1
43,"October 19, 1989",status,Rejected in the Senate by a recorded vote of 51 yeas and 48 nays ( Vote No. 251- required a two-thirds majority for passage),135 Cong Rec S 13721,SJRES 180,101- 1
44,"October 18, 1989",status,Senate continued consideration,135 Cong Rec S 13606,SJRES 180,101- 1
45,"October 18, 1989",status,Cosponsors added,135 Cong Rec S 13661,SJRES 180,101- 1
46,"October 17, 1989",status,Senate continued consideration,135 Cong Rec S 13503,SJRES 180,101- 1
47,"October 17, 1989",status,"Senate reached a unanimous-consent agreement providing for a vote to occur on final passage of the resolution on October 19, at 11 a.m.",135 Cong Rec S 13592,SJRES 180,101- 1
48,"October 16, 1989",status,Senate began consideration,135 Cong Rec S 13418,SJRES 180,101- 1
49,"September 28, 1989",status,Cosponsors added,135 Cong Rec S 12177,SJRES 180,101- 1
50,"September 21, 1989",status,"Senate Judiciary Committee rejected the motion to report the measure favorably, by a recorded vote of 6 yeas and 8 nays (Committee Vote No. 314)",135 Cong Rec S 11579,SJRES 180,101- 1
51,"September 21, 1989",status,"Senate Judiciary rejected the motion to report the measure without recommendation, by a recorded vote of 6 yeas and 8 nays (Committee Vote No. 315)",135 Cong Rec S 11579,SJRES 180,101- 1
52,"September 21, 1989",status,"Senate Judiciary committee ordered unfavorably reported, by a recorded vote of 8 yeas and 6 nays (Committee Vote No. 316)",135 Cong Rec S 11579,SJRES 180,101- 1
