,Date,Type,Committee,Bill:,Congress-Session:
0,"January 28, 2003",referral,House Committee on the Judiciary,HJRes 15,108- 1
1,"May 14, 2009",referral,Senate Committee on the Judiciary,SJRes 16,111- 1
2,"July 19, 2017",referral,House Committee on the Judiciary,HJRes 109,115- 1
3,"June 16, 1997",referral,Senate Committee on the Judiciary,HJRes 54,105- 1
4,"February 13, 1997",referral,House Committee on the Judiciary,HJRes 54,105- 1
5,"August 05, 1993",referral,House Judiciary Committee,HJRes 249,103- 1
6,"January 12, 2015",referral,House Committee on the Judiciary,HJRes 16,114- 1
7,"March 15, 1989",referral,House Judiciary Committee,HJRes 201,101- 1
8,"January 06, 2001",referral,House Committee on the Judiciary,HR 69,107- 1
9,"January 03, 2001",referral,House Committee on Energy and Commerce,HR 69,107- 1
10,"January 03, 2001",referral,House Committee on Ways and Means,HR 69,107- 1
11,"April 23, 2013",referral,House Committee on the Judiciary,HJRes 40,113- 1
12,"January 05, 1993",referral,House Judiciary Committee,HJRes 1,103- 1
13,"February 03, 1993",referral,Senate Judiciary Committee,SJRes 40,103- 1
14,"July 14, 2014",referral,House Committee on the Judiciary,HJRes 119,113- 2
15,"May 07, 2009",referral,House Committee on the Judiciary,HJRes 50,111- 1
16,"October 23, 2013",referral,House Committee on the Judiciary,HJRes 98,113- 1
17,"May 22, 2008",referral,House Committee on the Judiciary,HJRes 89,110- 2
18,"March 16, 1999",referral,House Committee on the Judiciary,HJRes 40,106- 1
19,"March 18, 2003",referral,Senate Committee on the Judiciary,SJRes 11,108- 1
20,"January 04, 1995",referral,Senate Judiciary Committee,SJRes 5,104- 1
21,"January 18, 2012",referral,House Committee on the Judiciary,HJRes 100,112- 2
22,"February 06, 1991",referral,House Judiciary Committee,HJRes 119,102- 1
23,"January 15, 2013",referral,House Committee on the Judiciary,HJRes 17,113- 1
24,"February 26, 2015",referral,House Committee on the Judiciary,HJRes 36,114- 1
25,"January 08, 2009",referral,Senate Committee on the Judiciary,SJRes 4,111- 1
26,"April 23, 2015",referral,Senate Committee on the Judiciary,SJRes 12,114- 1
27,"June 25, 2015",referral,Senate Committee on the Judiciary,SJRes 17,114- 1
28,"February 03, 2010",referral,House Committee on the Judiciary,HJRes 75,111- 2
29,"November 26, 1991",referral,Senate Judiciary Committee,SJRES 237,102- 1
30,"January 04, 1995",referral,House Judiciary Committee,HJRes 27,104- 1
31,"January 23, 2013",referral,Senate Committee on the Judiciary,SJRes 2,113- 1
32,"December 11, 2018",referral,House Committee on the Judiciary,HJRes 144,115- 2
33,"February 13, 2013",referral,Senate Committee on the Judiciary,SJRes 7,113- 1
34,"February 10, 1994",referral,House Judiciary Committee,HJRes 324,103- 2
35,"January 07, 2003",referral,Senate Committee on the Judiciary,SJRes 1,108- 1
36,"March 31, 2009",referral,House Committee on the Judiciary,HJRes 42,111- 1
37,"February 13, 2007",referral,House Committee on the Judiciary,HJRes 28,110- 1
