,Date,Type,Committee,Bill:,Congress-Session:
0,"January 28, 1991",referral,House Judiciary Committee,HJRes 93,102- 1
1,"February 24, 1993",referral,House Judiciary Committee,HJRes 123,103- 1
2,"September 15, 2004",referral,House Committee on the Judiciary,HJRes 104,108- 2
3,"September 28, 1995",referral,House Judiciary Committee,HJRes 109,104- 1
4,"March 04, 2003",referral,House Committee on the Judiciary,HJRes 30,108- 1
5,"February 13, 2001",referral,House Committee on the Judiciary,HJRes 16,107- 1
6,"March 31, 1993",referral,House Judiciary Committee,HJRes 171,103- 1
7,"January 09, 1997",referral,House Committee on the Judiciary,HJRes 26,105- 1
8,"January 09, 1997",referral,House Judiciary Committee,HJRes 4,105- 1
9,"January 10, 1991",referral,House Judiciary Committee,HJRes 65,102- 1
10,"May 26, 1995",referral,Senate Judiciary Committee,SJRes 36,104- 1
11,"March 03, 2011",referral,House Committee on the Judiciary,HJRes 46,112- 1
12,"June 09, 1992",referral,House Judiciary Committee,HJRes 504,102- 2
13,"March 06, 2001",referral,House Committee on the Judiciary,HJRes 31,107- 1
14,"November 21, 1989",referral,House Judiciary Committee,HJRes 450,101- 1
15,"January 03, 1989",referral,House Judiciary Committee,HJRes 61,101- 1
16,"June 18, 2013",referral,Senate Committee on the Judiciary,SJRes 18,113- 1
17,"April 13, 2005",referral,House Committee on the Judiciary,HJRes 41,109- 1
18,"April 28, 2005",referral,House Committee on the Judiciary,HJRes 46,109- 1
19,"January 09, 1997",referral,House Committee on the Judiciary,HJRes 18,105- 1
20,"January 04, 1995",referral,House Judiciary Committee,HJRes 42,104- 1
21,"July 24, 1995",referral,House Judiciary Committee,SJRes 23,104- 1
22,"January 24, 1995",referral,Senate Judiciary Committee,SJRes 23,104- 1
23,"January 19, 1989",referral,House Judiciary Committee,HJRes 81,101- 1
24,"March 20, 2003",referral,House Committee on the Judiciary,HJRes 42,108- 1
25,"February 04, 1997",referral,House Judiciary Committee,HJRes 38,105- 1
26,"June 25, 1997",referral,House Judiciary Committee,HJRes 86,105- 1
27,"February 16, 1993",referral,House Judiciary Committee,HJRes 107,103- 1
28,"March 25, 2019",referral,Senate Committee on the Judiciary,SJRes 14,116- 1
29,"March 03, 2009",referral,House Committee on the Judiciary,HJRes 34,111- 1
30,"January 03, 2013",referral,House Committee on the Judiciary,HJRes 9,113- 1
31,"February 08, 1999",referral,House Committee on the Judiciary,HJRes 24,106- 1
32,"February 04, 2021",referral,House Committee on the Judiciary,HJRes 24,117- 1
33,"August 03, 1993",referral,House Judiciary Committee,HJRes 248,103- 1
34,"February 09, 2011",referral,House Committee on the Judiciary,HJRes 25,112- 1
35,"February 13, 2007",referral,House Committee on the Judiciary,HJRes 30,110- 1
36,"July 26, 1995",referral,House Judiciary Committee,HJRes 103,104- 1
37,"March 04, 2003",referral,House Committee on the Judiciary,HJRes 34,108- 1
38,"June 09, 2005",referral,House Committee on the Judiciary,HJRes 53,109- 1
39,"May 08, 2008",referral,House Committee on the Judiciary,HJRes 83,110- 2
40,"January 09, 1997",referral,House Judiciary Committee,HJRes 3,105- 1
41,"April 10, 2000",referral,House Committee on the Judiciary,HJRes 97,106- 2
42,"January 07, 1999",referral,House Committee on the Judiciary,HJRes 16,106- 1
43,"June 11, 2003",referral,House Committee on the Judiciary,HJRes 59,108- 1
44,"April 09, 2008",referral,Senate Committee on the Judiciary,SJRes 31,110- 2
45,"January 04, 2021",referral,House Committee on the Judiciary,HJRes 11,117- 1
46,"April 13, 2000",referral,Senate Committee on the Judiciary,SJRes 45,106- 2
47,"January 04, 1995",referral,House Judiciary Committee,HJRes 46,104- 1
48,"March 02, 1989",referral,House Judiciary Committee,HJRes 172,101- 1
49,"May 08, 1991",referral,House Judiciary Committee,HJRes 246,102- 1
50,"February 04, 1997",referral,House Committee on the Judiciary,HJRes 37,105- 1
51,"January 18, 2007",referral,House Committee on the Judiciary,HJRes 19,110- 1
52,"February 04, 2015",referral,Senate Committee on the Judiciary,SJRes 7,114- 1
53,"March 21, 2019",referral,House Committee on the Judiciary,HJRes 52,116- 1
54,"February 14, 2011",referral,House Committee on the Judiciary,HJRes 29,112- 1
55,"February 13, 2007",referral,House Committee on the Judiciary,HJRes 34,110- 1
56,"March 19, 1991",referral,House Judiciary Committee,HJRes 193,102- 1
57,"June 28, 1989",referral,House Judiciary Committee,HJRes 340,101- 1
58,"January 09, 2019",referral,House Committee on the Judiciary,HJRes 24,116- 1
59,"April 22, 2021",referral,House Committee on the Judiciary,HJRes 43,117- 1
60,"April 10, 2000",referral,House Committee on the Judiciary,HJRes 96,106- 2
