,Date,Type,Committee,Bill:,Congress-Session:
0,"March 21, 1996",referral,House Judiciary Committee,HJRes 167,104- 2
1,"January 03, 2017",referral,House Committee on the Judiciary,HJRes 12,115- 1
2,"January 03, 2013",referral,House Committee on the Judiciary,HJRes 7,113- 1
3,"June 22, 2017",referral,House Committee on the Judiciary,HJRes 106,115- 1
4,"March 18, 1998",referral,Senate Committee on the Judiciary,HJRes 115,105- 2
5,"February 12, 1997",referral,House Judiciary Committee,HJRes 51,105- 1
6,"January 04, 1995",referral,House Judiciary Committee,HJRes 37,104- 1
7,"January 03, 1989",referral,House Judiciary Committee,HJRes 23,101- 1
8,"January 12, 2015",referral,House Committee on the Judiciary,HJRes 18,114- 1
9,"July 22, 2004",referral,House Committee on the Judiciary,HJRes 101,108- 2
10,"April 10, 2000",referral,House Committee on the Judiciary,HJRes 95,106- 2
11,"January 03, 1989",referral,House Judiciary Committee,HJRes 48,101- 1
12,"March 03, 2009",referral,House Committee on the Judiciary,HJRes 29,111- 1
13,"January 16, 2009",referral,Senate Committee on the Judiciary,SJRes 6,111- 1
14,"January 27, 1989",referral,House Judiciary Committee,HJRes 96,101- 1
15,"April 26, 2021",referral,House Committee on Rules,HRes 351,117- 1
16,"January 23, 2013",referral,Senate Committee on the Judiciary,SJRes 4,113- 1
17,"January 04, 2005",referral,House Committee on the Judiciary,HJRes 2,109- 1
18,"July 18, 1989",referral,Senate Judiciary Committee,SJRES 180,101- 1
19,"April 21, 2005",referral,House Committee on the Judiciary,HJRes 43,109- 1
20,"March 04, 2003",referral,House Committee on the Judiciary,HJRes 29,108- 1
21,"May 20, 1993",referral,House Judiciary Committee,HJRes 200,103- 1
22,"June 27, 1989",referral,House Judiciary Committee,HJRes 336,101- 1
23,"August 06, 1998",referral,Senate Committee on the Judiciary,HJRes 127,105- 2
24,"January 07, 2009",referral,House Committee on the Judiciary,HJRes 11,111- 1
25,"February 14, 2011",referral,House Committee on the Judiciary,HJRes 30,112- 1
26,"February 03, 2017",referral,Senate Committee on the Judiciary,SJRes 20,115- 1
27,"February 01, 2005",referral,House Committee on the Judiciary,HJRes 15,109- 1
28,"January 21, 2010",referral,House Committee on the Judiciary,HJRes 69,111- 2
29,"November 15, 2011",referral,House Committee on the Judiciary,HJRes 88,112- 1
30,"March 31, 2003",referral,House Committee on the Judiciary,HJRes 44,108- 1
31,"April 21, 1993",referral,House Judiciary Committee,HJRes 180,103- 1
32,"January 25, 2011",referral,Senate Committee on the Judiciary,SJRes 2,112- 1
33,"January 17, 2007",referral,House Committee on the Judiciary,HJRes 17,110- 1
34,"March 03, 1993",referral,House Judiciary Committee,HJRes 129,103- 1
35,"August 05, 2011",referral,House Committee on the Judiciary,HJRes 75,112- 1
36,"February 12, 2015",referral,House Committee on the Judiciary,HJRes 32,114- 1
37,"April 23, 2015",referral,Senate Committee on the Judiciary,SJRes 13,114- 1
38,"January 16, 2014",referral,House Committee on the Judiciary,HJRes 107,113- 2
39,"February 24, 1999",referral,House Committee on the Judiciary,HJRes 33,106- 1
40,"March 17, 1999",referral,Senate Committee on the Judiciary,SJRes 14,106- 1
41,"July 24, 2013",referral,House Committee on the Judiciary,HJRes 53,113- 1
42,"March 13, 2014",referral,Senate Committee on the Judiciary,SJRes 34,113- 2
43,"April 10, 2003",referral,House Committee on the Judiciary,HJRes 48,108- 1
44,"January 07, 2003",referral,House Committee on the Judiciary,HJRes 4,108- 1
45,"February 25, 2009",referral,Senate Committee on the Judiciary,SJRes 11,111- 1
46,"January 09, 1997",referral,House Judiciary Committee,HJRes 21,105- 1
47,"April 14, 1999",referral,House Committee on the Judiciary,HJRes 45,106- 1
48,"March 08, 1989",referral,House Judiciary Committee,HJRes 181,101- 1
49,"March 21, 1995",referral,Senate Judiciary Committee,SJRes 31,104- 1
50,"March 13, 2001",referral,House Committee on the Judiciary,HJRes 36,107- 1
51,"June 05, 2012",referral,Senate Committee on the Judiciary,SJRes 42,112- 2
52,"January 25, 1989",referral,Senate Judiciary Committee,SJRES 14,101- 1
53,"June 14, 2011",referral,Senate Committee on the Judiciary,SJRes 19,112- 1
54,"January 24, 2019",referral,House Committee on the Judiciary,HJRes 33,116- 1
55,"April 26, 2016",referral,House Committee on the Judiciary,HJRes 91,114- 2
56,"May 06, 2009",referral,Senate Committee on the Judiciary,SJRes 15,111- 1
57,"February 11, 1999",referral,House Committee on the Judiciary,HJRes 29,106- 1
58,"May 02, 2002",referral,House Committee on the Judiciary,HJRes 91,107- 2
59,"October 11, 2013",referral,Senate Committee on the Judiciary,SJRes 25,113- 1
60,"June 08, 1993",referral,House Judiciary Committee,HJRes 210,103- 1
61,"April 24, 1996",referral,House Judiciary Committee,HJRes 176,104- 2
62,"March 22, 2004",referral,Senate Committee on the Judiciary,SJRes 30,108- 2
63,"July 31, 1997",referral,House Judiciary Committee,HJRes 93,105- 1
64,"January 06, 2015",referral,House Committee on the Judiciary,HJRes 5,114- 1
65,"June 13, 2013",referral,Senate Committee on the Judiciary,SJRes 17,113- 1
66,"June 28, 2013",referral,House Committee on the Judiciary,HJRes 51,113- 1
