,Date,Type,Action,Links,Bill:,Congress-Session:
0,"December 18, 1889",status,Referred to Committee House,,HRes 17,51- 1
1,"February 22, 1923",status,Reported in House,,SJRes 253,67- 4
2,"February 14, 1923",status,Referred to Committee House,,SJRes 253,67- 4
3,"February 12, 1923",status,Ordered to be Printed Senate,,SJRes 253,67- 4
4,"December 05, 1922",status,Reported in Senate,,SJRes 253,67- 4
5,"January 28, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 712,HJRes 93,102- 1
6,"February 24, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 878,HJRes 123,103- 1
7,"September 15, 2004",referral,Referred to House Committee on the Judiciary,150 Cong Rec H 7234,HJRes 104,108- 2
8,"October 17, 1995",status,Cosponsor(s) added,141 Cong Rec H 10147,HJRes 109,104- 1
9,"September 28, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 9670,HJRes 109,104- 1
10,"March 04, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1516,HJRes 30,108- 1
11,"February 13, 2001",status,Remarks by Rep. Doolittle (R-CA),147 Cong Rec E 161,HJRes 16,107- 1
12,"February 13, 2001",referral,Referred to House Committee on the Judiciary,147 Cong Rec H 324,HJRes 16,107- 1
13,"June 17, 1994",status,Cosponsor(s) added,140 Cong Rec H 4722,HJRes 171,103- 1
14,"April 14, 1994",status,Cosponsor(s) added,140 Cong Rec H 2368,HJRes 171,103- 1
15,Session 1,,,,HJRes 171,103- 1
16,"September 29, 1993",status,Cosponsor(s) added,139 Cong Rec H 7263,HJRes 171,103- 1
17,"May 27, 1993",status,Cosponsor(s) added,139 Cong Rec H 2995,HJRes 171,103- 1
18,"May 05, 1993",status,Cosponsors added,139 Cong Rec H 2302,HJRes 171,103- 1
19,"March 31, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1812,HJRes 171,103- 1
20,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 155,HJRes 26,105- 1
21,"January 09, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 153,HJRes 4,105- 1
22,"January 10, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 195,HJRes 65,102- 1
23,"May 26, 1995",referral,Referred to the Senate Judiciary Committee,141 Cong Rec S 7615,SJRes 36,104- 1
24,"May 26, 1995",status,Remarks by Sen. Ashcroft MO,141 Cong Rec S 7628,SJRes 36,104- 1
25,"March 03, 2011",status,Introduced in the House,157 Cong Rec H1575,HJRes 46,112- 1
26,"March 03, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H1575,HJRes 46,112- 1
27,"June 09, 1992",referral,Referred to the House Judiciary Committee,138 Cong Rec H 4447,HJRes 504,102- 2
28,"March 06, 2001",referral,Referred to House Committee on the Judiciary,147 Cong Rec H 649,HJRes 31,107- 1
29,"November 14, 1969",status,Referred to Committee House,,HJRes 11,91- 1
30,"January 03, 1969",status,Introduced in the House,,HJRes 11,91- 1
31,"August 18, 1959",status,Referred to Committee Senate,,SJRes 126,86- 1
32,"August 06, 1959",status,Introduced in the Senate,,SJRes 126,86- 1
33,"November 21, 1989",referral,Referred to the House Judiciary Committee,135 Cong Rec H 9713,HJRes 450,101- 1
34,"January 03, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 58,HJRes 61,101- 1
35,"June 18, 2013",status,Introduced in the Senate,159 Cong Rec S4585,SJRes 18,113- 1
36,"June 18, 2013",referral,Referred to the Senate Committee on the Judiciary,159 Cong Rec S4585,SJRes 18,113- 1
37,"April 13, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 1967,HJRes 41,109- 1
