,Date,Type,Committee,Bill:,Congress-Session:
0,"January 04, 1995",referral,Senate Judiciary Committee,SJRes 1,104- 1
1,"January 05, 1993",referral,House Judiciary Committee,HJRes 37,103- 1
2,"January 04, 1995",referral,Senate Judiciary Committee,SJRes 6,104- 1
3,"April 10, 1997",referral,House Committee on the Judiciary,HJRes 70,105- 1
4,"January 19, 1995",referral,House Judiciary Committee,HJRes 56,104- 1
5,"April 06, 2000",referral,House Committee on the Judiciary,HJRes 94,106- 2
6,"January 21, 1993",referral,Senate Judiciary Committee,SJRes 13,103- 1
7,"January 11, 2016",referral,House Committee on the Judiciary,HJRes 80,114- 2
8,"March 03, 2016",referral,House Committee on the Judiciary,HJRes 85,114- 2
9,"March 10, 1993",referral,House Judiciary Committee,HJRes 144,103- 1
10,"November 18, 2011",referral,House Committee on the Judiciary,HJRes 90,112- 1
11,"January 13, 2017",referral,House Committee on the Judiciary,HJRes 28,115- 1
12,"February 28, 1989",referral,House Judiciary Committee,HJRes 159,101- 1
13,"February 22, 2019",referral,House Committee on the Judiciary,HJRes 47,116- 1
14,"March 08, 1995",referral,House Judiciary Committee,HJRes 76,104- 1
15,"April 24, 1997",referral,Senate Judiciary Committee,SJRes 28,105- 1
16,"May 14, 2015",referral,House Committee on the Judiciary,HJRes 52,114- 1
17,"March 03, 2003",referral,Senate Committee on the Judiciary,SJRes 7,108- 1
18,"January 25, 1989",referral,Senate Judiciary Committee,SJRES 1,101- 1
19,"May 12, 2011",referral,House Committee on the Judiciary,HJRes 62,112- 1
20,"April 30, 2009",referral,House Committee on the Judiciary,HJRes 48,111- 1
21,"March 04, 2003",referral,House Committee on the Judiciary,HJRes 28,108- 1
22,"March 11, 1997",referral,House Committee on the Judiciary,HJRes 62,105- 1
23,"November 16, 1999",referral,House Committee on the Judiciary,HJRes 81,106- 1
24,"June 14, 1994",referral,Senate Judiciary Committee,SJRes 199,103- 2
25,"January 21, 1993",referral,Senate Judiciary Committee,SJRes 9,103- 1
26,"January 25, 1995",referral,Senate Judiciary Committee,SJRes 24,104- 1
27,"February 27, 1991",referral,House Judiciary Committee,HJRes 150,102- 1
28,"June 04, 1998",referral,Senate Committee on the Judiciary,SJRes 48,105- 2
29,"February 27, 2017",referral,Senate Committee on the Judiciary,SJRes 24,115- 1
30,"January 26, 2005",referral,House Committee on the Judiciary,HJRes 14,109- 1
