,Date,Type,Action,Links,Bill:,Congress-Session:
0,"January 28, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 218,HJRes 15,108- 1
1,"May 14, 2009",status,Introduced in the Senate,155 Cong Rec S5502,SJRes 16,111- 1
2,"May 14, 2009",referral,Referred to the Senate Committee on the Judiciary.,155 Cong Rec S5502,SJRes 16,111- 1
3,"July 19, 2017",status,Introduced in the House,163 Cong Rec H6041,HJRes 109,115- 1
4,"July 19, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H6041,HJRes 109,115- 1
5,"June 24, 1998",status,Reported by the Senate Committee on Judiciary,144 Cong Rec S 7012,HJRes 54,105- 1
6,"June 17, 1998",status,"Approved for full committee by the Senate Subcommittee on the Constitution, Federalism, and Property Rights",144 Cong Rec D 651,HJRes 54,105- 1
7,Session 1,,,,HJRes 54,105- 1
8,"June 19, 1997",status,Remarks by Rep. Forbes NY,143 Cong Rec E 1265,HJRes 54,105- 1
9,"June 17, 1997",status,Remarks by Rep. Snowbarger KS,143 Cong Rec E 1228,HJRes 54,105- 1
10,"June 16, 1997",status,Remarks by Rep. Kucinich OH,143 Cong Rec E 1218,HJRes 54,105- 1
11,"June 16, 1997",status,House requested the concurrence of the Senate,143 Cong Rec S 5691,HJRes 54,105- 1
12,"June 16, 1997",referral,Referred to the Senate Judiciary Committee,143 Cong Rec S 5691,HJRes 54,105- 1
13,"June 12, 1997",status,"House agreed to H. Res. 163, resolution providing for consideration of the joint resolution, by voice vote",143 Cong Rec H 3730,HJRes 54,105- 1
14,"June 12, 1997",status,"House, two-thirds having voted in the affirmative, passed the joint resolution, by a recorded vote of 310 yeas and 114 nays (D 100-100; I 0-1; R 210-13) ( Roll No. 202)",143 Cong Rec H 3756,HJRes 54,105- 1
15,"June 10, 1997",status,"House Rules Committee granted a closed rule, by voice vote",143 Cong Rec D 594,HJRes 54,105- 1
16,"June 10, 1997",status,"H. Res. 163, resolution providing for consideration of the joint resolution, reported in the House ( H. Rept. 105-126)",143 Cong Rec H 3658,HJRes 54,105- 1
17,"June 05, 1997",status,Reported in the House (H. Rept. 121),143 Cong Rec H 3566,HJRes 54,105- 1
18,"May 14, 1997",status,House Judiciary Committee ordered reported,143 Cong Rec D 481,HJRes 54,105- 1
