,Date,Type,Committee,Bill:,Congress-Session:
0,"August 05, 2011",referral,House Committee on the Judiciary,HJRes 76,112- 1
1,"January 19, 2018",referral,House Committee on the Judiciary,HJRes 126,115- 2
2,"January 11, 2021",referral,House Committee on the Judiciary,HJRes 14,117- 1
3,"May 14, 2015",referral,House Committee on the Judiciary,HJRes 53,114- 1
4,"July 01, 1992",referral,House Judiciary Committee,HJRes 521,102- 2
5,"July 24, 2013",referral,House Committee on the Judiciary,HJRes 54,113- 1
6,"June 13, 2019",referral,Senate Committee on the Judiciary,SJRes 49,116- 1
7,"January 04, 1995",referral,House Judiciary Committee,HJRes 11,104- 1
8,"January 03, 1989",referral,House Judiciary Committee,HJRes 50,101- 1
9,"January 22, 2001",referral,Senate Committee on the Judiciary,SJRes 1,107- 1
10,"July 30, 2015",referral,Senate Committee on the Judiciary,SJRes 21,114- 1
11,"June 29, 1992",referral,House Judiciary Committee,HJRes 518,102- 2
12,"March 22, 2001",referral,House Committee on the Judiciary,HJRes 40,107- 1
