,Date,Type,Action,Links,Bill:,Congress-Session:
0,"March 25, 2009",status,Introduced in the House,155 Cong Rec H4026,HJRes 41,111- 1
1,"March 25, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H4026,HJRes 41,111- 1
2,"June 09, 1993",status,Cosponsor(s) added,139 Cong Rec H 3373,HJRes 167,103- 1
3,"April 28, 1993",status,Cosponsors added,139 Cong Rec H 2127,HJRes 167,103- 1
4,"March 30, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1739,HJRes 167,103- 1
5,"March 06, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 804,HJRes 60,105- 1
6,"August 01, 1994",referral,Referred to the House Judiciary Committee,140 Cong Rec H 6549,HJRes 396,103- 2
7,"May 05, 1896",status,Ordered to be Printed House,,HRes 39,54- 1
8,"December 17, 1895",status,Referred to Committee House,,HRes 39,54- 1
9,"December 12, 1895",status,Ordered to be Printed House,,HRes 39,54- 1
10,"April 29, 2004",referral,Referred to House Committee on the Judiciary,150 Cong Rec H 2488,HJRes 94,108- 2
11,"May 04, 2006",referral,Referred to House Committee on the Judiciary,152 Cong Rec H 2174,HJRes 85,109- 2
12,"December 06, 1932",status,Referred to Committee Senate,,SJRes 202,72- 2
13,Session 1,,,,SJRes 202,72- 2
14,"July 11, 1932",status,Introduced in the Senate,,SJRes 202,72- 2
15,"July 11, 1932",status,Placed on Calendar Senate,,SJRes 202,72- 2
16,"February 25, 2019",status,Introduced in the House,165 Cong Rec H2101,HJRes 49,116- 1
17,"February 25, 2019",referral,Referred to the House Committee on the Judiciary,165 Cong Rec H2101,HJRes 49,116- 1
18,"March 29, 2007",status,Introduced in the House,153 Cong Rec H3360,HJRes 41,110- 1
19,"March 29, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H3360,HJRes 41,110- 1
20,"November 04, 2011",status,Introduced in the House,157 Cong Rec H7398,HJRes 84,112- 1
21,"November 04, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H7398,HJRes 84,112- 1
22,"April 26, 2013",status,Introduced in the House,159 Cong Rec H2393,HJRes 42,113- 1
23,"April 26, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H2393,HJRes 42,113- 1
24,"March 11, 1992",referral,Referred to the House Judiciary Committee,138 Cong Rec H 1181,HJRes 438,102- 2
25,"July 21, 1994",status,Cosponsor(s) added,140 Cong Rec H 6104,HJRes 160,103- 1
26,"July 20, 1994",status,Cosponsor(s) added,140 Cong Rec H 5950,HJRes 160,103- 1
27,"July 14, 1994",status,Cosponsor(s) added,140 Cong Rec H 5761,HJRes 160,103- 1
28,"June 30, 1994",status,Cosponsor(s) added,140 Cong Rec H 5463,HJRes 160,103- 1
29,"June 14, 1994",status,Cosponsor(s) added,140 Cong Rec H 4447,HJRes 160,103- 1
30,Session 1,,,,HJRes 160,103- 1
31,"May 12, 1993",status,Cosponsors added,139 Cong Rec H 2462,HJRes 160,103- 1
32,"April 29, 1993",status,Cosponsors added,139 Cong Rec H 2183,HJRes 160,103- 1
33,"March 30, 1993",status,Cosponsors added,139 Cong Rec H 1739,HJRes 160,103- 1
34,"March 23, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1550,HJRes 160,103- 1
35,"February 17, 1899",status,Referred to Committee Senate,,SRes 243,55- 3
36,Session 2,,,,SRes 243,55- 3
37,"January 19, 1898",status,Introduced in the Senate,,SRes 243,55- 3
38,"November 16, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
39,"November 16, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
40,"October 14, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
41,"October 14, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
42,"October 13, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
43,"October 13, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
44,"October 12, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
45,"October 12, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
46,"October 12, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
47,"October 09, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
48,"October 09, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
49,"October 09, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
50,"October 08, 1970",status,Ordered to be Printed Senate,,HJRes 264,91- 2
51,"October 08, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
52,"October 06, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
53,"October 06, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
54,"October 02, 1970",status,Laid on Table in Senate,,HJRes 264,91- 2
55,"October 01, 1970",status,Ordered to be Printed House,,HJRes 264,91- 2
