X1,Date,Type,Action,Links,Bill:,Congress-Session:
9,"June 22, 2017",status,Introduced in the House,163 Cong Rec H5109,HJRes 106,115- 1
10,"June 22, 2017",referral,Referred to the House Committee on the Judiciary,163 Cong Rec H5109,HJRes 106,115- 1
11,"March 18, 1998",referral,Referred to the Senate Judiciary Committee,144 Cong Rec H 1299,HJRes 115,105- 2
12,"February 12, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 521,HJRes 51,105- 1
13,"May 09, 1995",status,Cosponsor(s) removed,141 Cong Rec H 4620,HJRes 37,104- 1
14,"January 04, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 176,HJRes 37,104- 1
15,"September 06, 1989",status,Cosponsors added,135 Cong Rec H 5388,HJRes 23,101- 1
16,"January 03, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 39,HJRes 23,101- 1
17,"January 12, 2015",status,Introduced in the House,161 Cong Rec H224,HJRes 18,114- 1
18,"January 12, 2015",referral,Referred to the House Committee on the Judiciary,161 Cong Rec H224,HJRes 18,114- 1
19,"January 20, 1890",status,Referred to Committee House,NA,HRes 74,51- 1
20,"January 27, 1887",status,Reported in House,NA,HRes 239,49- 2
21,"January 17, 1887",status,Referred to Committee House,NA,HRes 239,49- 2
22,"April 17, 1930",status,Referred to Committee House,NA,SJRes 3,71- 2
23,Session 1,NA,NA,NA,SJRes 3,71- 2
24,"April 22, 1929",status,Reported in Senate,NA,SJRes 3,71- 2
25,"April 18, 1929",status,Introduced in the Senate,NA,SJRes 3,71- 2
26,"July 22, 2004",referral,Referred to House Committee on the Judiciary,150 Cong Rec H 6705,HJRes 101,108- 2
27,"April 10, 2000",referral,Referred to the House Committee on the Judiciary,146 Cong Rec H 2012,HJRes 95,106- 2
28,"September 26, 1990",status,Cosponsors added,136 Cong Rec H 8106,HJRes 48,101- 1
29,Session 1,NA,NA,NA,HJRes 48,101- 1
30,"April 12, 1989",status,Cosponsors added,135 Cong Rec H 1127,HJRes 48,101- 1
31,"January 03, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 58,HJRes 48,101- 1
32,"March 03, 2009",status,Introduced in the House,155 Cong Rec H2925,HJRes 29,111- 1
33,"March 03, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H2925,HJRes 29,111- 1
34,"January 16, 2009",status,Introduced in the Senate,155 Cong Rec S652,SJRes 6,111- 1
35,"January 16, 2009",referral,Referred to the Senate Committee on the Judiciary.,155 Cong Rec S652,SJRes 6,111- 1
36,"January 27, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 131,HJRes 96,101- 1
37,"January 04, 1888",status,Referred to Committee House,NA,HRes 27,50- 1
38,"April 26, 2021",status,Introduced in the House,167 Cong Rec H2114,HRes 351,117- 1
39,"April 26, 2021",referral,Referred to the House Committee on Rules,167 Cong Rec H2114,HRes 351,117- 1
40,"January 23, 2013",status,Introduced in the Senate,159 Cong Rec S214,SJRes 4,113- 1
41,"January 23, 2013",referral,Referred to the Senate Committee on the Judiciary,159 Cong Rec S214,SJRes 4,113- 1
42,"January 04, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 79,HJRes 2,109- 1
43,"October 19, 1989",status,Rejected in the Senate by a recorded vote of 51 yeas and 48 nays ( Vote No. 251- required a two-thirds majority for passage),135 Cong Rec S 13721,SJRES 180,101- 1
44,"October 18, 1989",status,Senate continued consideration,135 Cong Rec S 13606,SJRES 180,101- 1
45,"October 18, 1989",status,Cosponsors added,135 Cong Rec S 13661,SJRES 180,101- 1
46,"October 17, 1989",status,Senate continued consideration,135 Cong Rec S 13503,SJRES 180,101- 1
47,"October 17, 1989",status,"Senate reached a unanimous-consent agreement providing for a vote to occur on final passage of the resolution on October 19, at 11 a.m.",135 Cong Rec S 13592,SJRES 180,101- 1
48,"October 16, 1989",status,Senate began consideration,135 Cong Rec S 13418,SJRES 180,101- 1
49,"September 28, 1989",status,Cosponsors added,135 Cong Rec S 12177,SJRES 180,101- 1
50,"September 21, 1989",status,"Senate Judiciary Committee rejected the motion to report the measure favorably, by a recorded vote of 6 yeas and 8 nays (Committee Vote No. 314)",135 Cong Rec S 11579,SJRES 180,101- 1
51,"September 21, 1989",status,"Senate Judiciary rejected the motion to report the measure without recommendation, by a recorded vote of 6 yeas and 8 nays (Committee Vote No. 315)",135 Cong Rec S 11579,SJRES 180,101- 1
52,"September 21, 1989",status,"Senate Judiciary committee ordered unfavorably reported, by a recorded vote of 8 yeas and 6 nays (Committee Vote No. 316)",135 Cong Rec S 11579,SJRES 180,101- 1
53,"September 21, 1989",status,Reported in the Senate unfavorably,135 Cong Rec S 11684,SJRES 180,101- 1
54,"August 01, 1989",status,Senate Committee on the Judiciary held hearings,135 Cong Rec S 9179,SJRES 180,101- 1
55,"July 18, 1989",referral,Referred to the Senate Judiciary Committee,135 Cong Rec S 8129,SJRES 180,101- 1
56,"December 22, 1916",status,Referred with Amendments Senate,NA,SJRes 55,64- 2
57,Session 1,NA,NA,NA,SJRes 55,64- 2
58,"December 16, 1915",status,Introduced in the Senate,NA,SJRes 55,64- 2
59,"April 21, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 2471,HJRes 43,109- 1
60,"March 04, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1516,HJRes 29,108- 1
61,"May 20, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 2687,HJRes 200,103- 1
62,"June 29, 1989",status,Cosponsors added,135 Cong Rec H 3522,HJRes 336,101- 1
63,"June 27, 1989",referral,Referred to the House Judiciary Committee,135 Cong Rec H 3257,HJRes 336,101- 1
64,"August 06, 1998",referral,Referred to the Senate Committee on the Judiciary,144 Cong Rec H 7414,HJRes 127,105- 2
65,"January 07, 2009",status,Introduced in the House,155 Cong Rec H71,HJRes 11,111- 1
66,"January 07, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H71,HJRes 11,111- 1
67,"February 14, 2011",status,Introduced in the House,157 Cong Rec H774,HJRes 30,112- 1
68,"February 14, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H774,HJRes 30,112- 1
69,"February 03, 2017",status,Introduced in the Senate,163 Cong Rec S680,SJRes 20,115- 1
70,"February 03, 2017",referral,Referred to the Senate Committee on the Judiciary,163 Cong Rec S680,SJRes 20,115- 1
71,"February 01, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 284,HJRes 15,109- 1
72,"January 21, 2010",status,Introduced in the House,156 Cong Rec H326,HJRes 69,111- 2
73,"January 21, 2010",referral,Referred to the House Committee on the Judiciary.,156 Cong Rec H326,HJRes 69,111- 2
74,"November 15, 2011",status,Introduced in the House,157 Cong Rec H7626,HJRes 88,112- 1
75,"November 15, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H7626,HJRes 88,112- 1
76,"April 24, 1884",status,Reported in House,NA,HRes 25,48- 1
77,"December 10, 1883",status,Referred to Committee House,NA,HRes 25,48- 1
78,"March 31, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 2514,HJRes 44,108- 1
79,"November 16, 1993",status,Cosponsor(s) added,139 Cong Rec H 9854,HJRes 180,103- 1
80,"October 14, 1993",status,Cosponsor(s) added,139 Cong Rec H 8002,HJRes 180,103- 1
81,"June 10, 1993",status,Cosponsor(s) added,139 Cong Rec H 3457,HJRes 180,103- 1
82,"April 21, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1992,HJRes 180,103- 1
83,"January 07, 1884",status,Referred to Committee House,NA,HRes 69,48- 1
84,"November 16, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
85,"November 16, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
86,"October 14, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
87,"October 14, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
88,"October 13, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
89,"October 13, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
90,"October 12, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
91,"October 12, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
92,"October 12, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
93,"October 09, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
94,"October 09, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
95,"October 09, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
96,"October 08, 1970",status,Ordered to be Printed Senate,NA,HJRes 264,91- 2
97,"October 08, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
98,"October 06, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
99,"October 06, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
100,"October 02, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
101,"October 01, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
102,"October 01, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
103,"September 28, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
104,"September 23, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
105,"September 23, 1970",status,Ordered to be Printed House,NA,HJRes 264,91- 2
106,"August 28, 1970",status,Laid on Table in Senate,NA,HJRes 264,91- 2
